,Product Lookup,,Location Filters,,,,,
Delete,Product Name,Product Sku,Type,Zone,State,City,Locality,PIN Code
Y || N,Max 191 characters,"Valid alphanumeric value without space, Unique sku",Zone || State || City || Locality,Only string value,Only string value,Only string value,Only string value,Only number value
* Required,* Required,* Required,* Required,---,---,---,---,---
N,"Chhotu Maharaj Cine Cafe Thandla Jhabua-1, Thandla, Madhya Pradesh",CINEMA003377,locality,Central,Madhya Pradesh,Thandla,,457777
N,"Regal Cinema Indore - 1, Indore, Madhya Pradesh",CINEMA003378,locality,Central,Madhya Pradesh,Indore,,
N,"Rituraj Cinema Itarsi-1, Itarsi, Madhya Pradesh",CINEMA003379,locality,Central,Madhya Pradesh,Itarsi,,461111
N,"Triyug Talkies Khandwa-1, Khandwa, Madhya Pradesh",CINEMA003380,locality,Central,Madhya Pradesh,Khandwa,,
N,"Ratan Cineplex Manasa-1, Manasa, Madhya Pradesh",CINEMA003381,locality,Central,Madhya Pradesh,Manasa,,
N,"Gold Cineplex Bramhapuri-1, Bramhapuri, Maharashtra",CINEMA003382,locality,West,Maharashtra,Bramhapuri,,441206
N,"Chhotu Maharaj Dome Karmala-1, Karmala, Maharashtra",CINEMA003383,locality,West,Maharashtra,Karmala,,
N,"Moraya Cinema Sindkhed Raja-1, Sindkhed Raja, Maharashtra",CINEMA003384,locality,West,Maharashtra,Sindkhed Raja,,443203
N,"Shree Talkies Achalpur-1, Achalpur, Maharashtra",CINEMA003385,locality,West,Maharashtra,Achalpur,,
N,"Manik Talkies Akola-1, Akola, Maharashtra",CINEMA003386,locality,West,Maharashtra,Akola,,
N,"New Regal Cinema Akola-1, Akola, Maharashtra",CINEMA003387,locality,West,Maharashtra,Akola,,444006
N,"Chhotu Maharaj Shravan Cinema Ambejogai-1, Ambejogai, Maharashtra",CINEMA003388,locality,West,Maharashtra,Ambejogai,,431517
N,"Liya Cineplex Amgaon-1, Amgaon, Maharashtra",CINEMA003389,locality,West,Maharashtra,Amgaon,,441902
N,"Raj Laxmi Talkies Amravati-1, Amravati, Maharashtra",CINEMA003390,locality,West,Maharashtra,Amravati,,
N,"Heer Talkies Arni-1, Arni, Maharashtra",CINEMA003391,locality,West,Maharashtra,Arni,,445103
N,"Tirupati Talkies Arvi-1, Arvi, Maharashtra",CINEMA003392,locality,West,Maharashtra,Arvi,,442201
N,"Sathe Chitra Mandir Ashta-1, Ashta, Maharashtra",CINEMA003393,locality,West,Maharashtra,Ashta,,
N,"Sr Cinema Ashti-1, Ashti, Maharashtra",CINEMA003394,locality,West,Maharashtra,Ashti,,414203
N,"Mauli Cinema Kaij Beed-1, Beed, Maharashtra",CINEMA003395,locality,West,Maharashtra,Beed,,431123
N,"Sonal Talkies Bhadravati-1, Bhadravati, Maharashtra",CINEMA003396,locality,West,Maharashtra,Bhadravati,,442902
N,"Chhotu Maharaj Jm Cine Cafe Bhamboli Pune-1, Bhamboli, Maharashtra",CINEMA003397,locality,West,Maharashtra,Bhamboli,,
N,"Chhotu Maharaj Shivraj Cine Cafe Bhor-1, Bhor, Maharashtra",CINEMA003398,locality,West,Maharashtra,Bhor,,
N,"Shriram Talkies Faizpur-1, Bhusawal, Maharashtra",CINEMA003399,locality,West,Maharashtra,Bhusawal,,425201
N,"Vasant Talkies Bhusawal-1, Bhusawal, Maharashtra",CINEMA003400,locality,West,Maharashtra,Bhusawal,,425201
N,"Shyam Talkies Buldhana-1, Buldhana, Maharashtra",CINEMA003401,locality,West,Maharashtra,Buldhana,,443001
N,"Raj Talkies Chalisgaon-1, Chalisgaon, Maharashtra",CINEMA003402,locality,West,Maharashtra,Chalisgaon,,
N,"Rajkala Cineplex Chandrapur-1, Chandrapur, Maharashtra",CINEMA003403,locality,West,Maharashtra,Chandrapur,,442402
N,"Cine Magic Cinema Chikhli-1, Chikhli, Maharashtra",CINEMA003404,locality,West,Maharashtra,Chikhli,,443201
N,"Atithi Cinema Chiplun-1, Chiplun, Maharashtra",CINEMA003405,locality,West,Maharashtra,Chiplun,,415605
N,"Mk Cinema Chiplun-1, Chiplun, Maharashtra",CINEMA003406,locality,West,Maharashtra,Chiplun,,
N,"Asha Talkies Chopda Jalgaon-1, Chopda, Maharashtra",CINEMA003407,locality,West,Maharashtra,Chopda,,
N,"Varsha Talkies Darawh-1, Darwha, Maharashtra",CINEMA003408,locality,West,Maharashtra,Darwha,,445202
N,"Shri Mahalaxmi Talkies Deoli-1, Deoli, Maharashtra",CINEMA003409,locality,West,Maharashtra,Deoli,,
N,"Santosh Talkies Deulgaonraja-1, Deulgaonraja, Maharashtra",CINEMA003410,locality,West,Maharashtra,Deulgaonraja,,
N,"Jyoti Cinema Dhule-1, Dhule, Maharashtra",CINEMA003411,locality,West,Maharashtra,Dhule,,
N,"Shankar Cinema Digras-1, Digras, Maharashtra",CINEMA003412,locality,West,Maharashtra,Digras,,
N,"New Naresh Cineplex Gadchandur-1, Gadchandur, Maharashtra",CINEMA003413,locality,West,Maharashtra,Gadchandur,,
N,"Alankar Cinema Gadchiroli-1, Gadchiroli, Maharashtra",CINEMA003414,locality,West,Maharashtra,Gadchiroli,,
N,"Satyam Talkies Garhchiroli-1, Gadchiroli, Maharashtra",CINEMA003415,locality,West,Maharashtra,Gadchiroli,,442605
N,"Shri Laxmi Talkies Hinganghat-1, Hinganghat, Maharashtra",CINEMA003416,locality,West,Maharashtra,Hinganghat,,442301
N,"Omraj Talkies Jafarabad-1, Jafarabad, Maharashtra",CINEMA003417,locality,West,Maharashtra,Jafarabad,,
N,"Ashok Talkies Jalgaon-1, Jalgaon, Maharashtra",CINEMA003418,locality,West,Maharashtra,Jalgaon,,425001
N,"Metro Cinema Jalgaon-1, Jalgaon, Maharashtra",CINEMA003419,locality,West,Maharashtra,Jalgaon,,
N,"Regal Cinema Jalgaon-1, Jalgaon, Maharashtra",CINEMA003420,locality,West,Maharashtra,Jalgaon,,425001
N,"Neelam Cineplex Jalna-1, Jalna, Maharashtra",CINEMA003421,locality,West,Maharashtra,Jalna,,
N,"Rajmandir Cinema Jalna-1, Jalna, Maharashtra",CINEMA003422,locality,West,Maharashtra,Jalna,,
N,"Goroba Cinema Jamkhed-1, Jamkhed, Maharashtra",CINEMA003423,locality,West,Maharashtra,Jamkhed,,
N,"Pratik Cinema Jat-1, Jath, Maharashtra",CINEMA003424,locality,West,Maharashtra,Jath,,
N,"Chhotu Maharaj Cine Cafe Sambhajipur-1, Jaysingpur, Maharashtra",CINEMA003425,locality,West,Maharashtra,Jaysingpur,,
N,"Shree Swami Samarth Chitra Mandir Jejuri Pune-1, Jejuri, Maharashtra",CINEMA003426,locality,West,Maharashtra,Jejuri,,412303
N,"Prithviraj Talkies Kallam-1, Kalam, Maharashtra",CINEMA003427,locality,West,Maharashtra,Kalam,,413507
N,"Gunjan Cineplex Karegaon-1, Karegaon, Maharashtra",CINEMA003428,locality,West,Maharashtra,Karegaon,,412220
N,"Shree Gajanan Cinema Khamgoan-1, Khamgaon, Maharashtra",CINEMA003429,locality,West,Maharashtra,Khamgaon,,444303
N,"Dhanraj Talkies Kinwat-1, Kinwat, Maharashtra",CINEMA003430,locality,West,Maharashtra,Kinwat,,
N,"Abhishek Cinema Kudus-1, Kudus, Maharashtra",CINEMA003431,locality,West,Maharashtra,Kudus,,421312
N,"Shri Ganesh Talkies Kurduwadi-1, Kurduwadi, Maharashtra",CINEMA003432,locality,West,Maharashtra,Kurduwadi,,
N,"K Mahindra Touring Talkies Lonand-1, Lonand, Maharashtra",CINEMA003433,locality,West,Maharashtra,Lonand,,
N,"Kss Miniplex Mahad-Blue Audi, Mahad, Maharashtra",CINEMA003434,locality,West,Maharashtra,Mahad,,402301
N,"Kakani Chitra Mandir Malegaon-1, Malegaon, Maharashtra",CINEMA003435,locality,West,Maharashtra,Malegaon,,
N,"Gajanan Talkies Malkapur-1, Malkapur, Maharashtra",CINEMA003436,locality,West,Maharashtra,Malkapur,,443101
N,"Shree Hanuman Talkies Malkapur-1, Malkapur, Maharashtra",CINEMA003437,locality,West,Maharashtra,Malkapur,,443101
N,"Vikas Theatre Manchar Pune-1, Manchar, Maharashtra",CINEMA003438,locality,West,Maharashtra,Manchar,,
N,"Hindvijay Chitra Mandir Mantha Jalna-1, Mantha, Maharashtra",CINEMA003439,locality,West,Maharashtra,Mantha,,
N,"Cinemark Multiplex Mehkar-2, Mehkar, Maharashtra",CINEMA003440,locality,West,Maharashtra,Mehkar,,
N,"New Roopesh Talkies Morshi-1, Morshi, Maharashtra",CINEMA003441,locality,West,Maharashtra,Morshi,,444905
N,"Manohar Chitra Mandir Mukhed Nanded-1, Mukhed, Maharashtra",CINEMA003442,locality,West,Maharashtra,Mukhed,,
N,"Upadhyay Cineplex Murtizapur-1, Murtizapur, Maharashtra",CINEMA003443,locality,West,Maharashtra,Murtizapur,,444107
N,"Sai Chitra Mandir Nagothane-1, Nagothane, Maharashtra",CINEMA003444,locality,West,Maharashtra,Nagothane,,
N,"Jayshree Talkies Nagpur-1, Nagpur, Maharashtra",CINEMA003445,locality,West,Maharashtra,Nagpur,,
N,"Panchshil Talkie Nagpur-1, Nagpur, Maharashtra",CINEMA003446,locality,West,Maharashtra,Nagpur,,
N,"Enjoy Gold Cinema Nampur-1, Nampur, Maharashtra",CINEMA003447,locality,West,Maharashtra,Nampur,,423204
N,"Sharda Cinema Nampur-1, Nampur, Maharashtra",CINEMA003448,locality,West,Maharashtra,Nampur,,
N,"Raviraj Chitra Mandir Niphad-1, Niphad, Maharashtra",CINEMA003449,locality,West,Maharashtra,Niphad,,
N,"Pitambari Talkies Paithan-1, Paithan, Maharashtra",CINEMA003450,locality,West,Maharashtra,Paithan,,431107
N,"Om Talkies Pandharkawada-1, Pandarkarwada, Maharashtra",CINEMA003451,locality,West,Maharashtra,Pandarkarwada,,445302
N,"Shree Talkies Patanbori-1, Patanbori, Maharashtra",CINEMA003452,locality,West,Maharashtra,Patanbori,,441122
N,"Pv Cinema Pimpalner-1, Pimpalner, Maharashtra",CINEMA003453,locality,West,Maharashtra,Pimpalner,,424306
N,"Funtime Deluxe Pimpri-1, Pimpri, Maharashtra",CINEMA003454,locality,West,Maharashtra,Pimpri,,411017
N,"Vijay Talkies Pusad-1, Pusad, Maharashtra",CINEMA003455,locality,West,Maharashtra,Pusad,,
N,"Chhotu Maharaj Cine Cafe Rahata-1, Rahata, Maharashtra",CINEMA003456,locality,West,Maharashtra,Rahata,,423107
N,"Vita Madhav Picture Palace Rahuri-1, Rahuri, Maharashtra",CINEMA003457,locality,West,Maharashtra,Rahuri,,413705
N,"Bhole Shankar Talkies Sailani-1, Sailani, Maharashtra",CINEMA003458,locality,West,Maharashtra,Sailani,,
N,"Mahaveer Talkies Sakoli-1, Sakoli, Maharashtra",CINEMA003459,locality,West,Maharashtra,Sakoli,,441802
N,"Chhotu Maharaj Cine Cafe Sangamner-1, Sangamner, Maharashtra",CINEMA003460,locality,West,Maharashtra,Sangamner,,422608
N,"Shiv Parvati Cinema Sangola-1, Sangola, Maharashtra",CINEMA003461,locality,West,Maharashtra,Sangola,,413307
N,"Ma Minakshi Talkies Nagpur-1, Saoner, Maharashtra",CINEMA003462,locality,West,Maharashtra,Saoner,,441107
N,"Cinemark Minakshi Cinema Selu-1, Selu, Maharashtra",CINEMA003463,locality,West,Maharashtra,Selu,,
N,"Ashok Talkies Shindkheda-1, Shindkheda, Maharashtra",CINEMA003464,locality,West,Maharashtra,Shindkheda,,425406
N,"Rajlaxmi Chitra Mandir Shrungartali Guhagar-1, Shrungartali, Maharashtra",CINEMA003465,locality,West,Maharashtra,Shrungartali,,
N,"New Pradeep Cinema Soegaon-1, Soegaon, Maharashtra",CINEMA003466,locality,West,Maharashtra,Soegaon,,
N,"Raghav Cineplex Talegaon Wardha-1, Talegaon, Maharashtra",CINEMA003467,locality,West,Maharashtra,Talegaon,,442201
N,"Chhotu Maharaj Cine Café Tasgaon-1, Tasgaon, Maharashtra",CINEMA003468,locality,West,Maharashtra,Tasgaon,,416312
N,"Snehal Talkies Tirora-1, Tirora, Maharashtra",CINEMA003469,locality,West,Maharashtra,Tirora,,
N,"Smile Multiplex Tumsar-Red 1, Tumsar, Maharashtra",CINEMA003470,locality,West,Maharashtra,Tumsar,,
N,"Rajdeep Cinema Umadi Jath-1, Umadi Jath, Maharashtra",CINEMA003471,locality,West,Maharashtra,Umadi Jath,,
N,"Sanjay Talkies Umarkhed-1, Umarkhed, Maharashtra",CINEMA003472,locality,West,Maharashtra,Umarkhed,,445206
N,"Balaji Multiplex Umred-Blue, Umred, Maharashtra",CINEMA003473,locality,West,Maharashtra,Umred,,
N,"Fun Time Cinema Vadgaon-1, Vadgaon, Maharashtra",CINEMA003474,locality,West,Maharashtra,Vadgaon,,411041
N,"Chhotu Maharaj Cine Cafe Vele Wai-1, Vele, Wai, Maharashtra",CINEMA003475,locality,West,Maharashtra,Wai,Vele,
N,"Dipti Talkies Wani-1, Wani, Maharashtra",CINEMA003476,locality,West,Maharashtra,Wani,,
N,"Kailash Talkies Warud-1, Warud, Maharashtra",CINEMA003477,locality,West,Maharashtra,Warud,,444906
N,"Ramrajya Cineplex Karanja- 1, Karanja, Maharashtra",CINEMA003478,locality,West,Maharashtra,Karanja,,444105
N,"Barkha Talkies Pusad-1, Pusad, Maharashtra",CINEMA003479,locality,West,Maharashtra,Pusad,,445204
N,"Laxmi Talkies - Ambernath, Ambernath, Maharashtra",CINEMA003480,locality,West,Maharashtra,Ambernath,,421506
N,"Asha Talkies Barshi - 1, Barshi, Maharashtra",CINEMA003481,locality,West,Maharashtra,Barshi,,413401
N,"Anand Cinema Bhiwandi-1, Bhiwandi, Maharashtra",CINEMA003482,locality,West,Maharashtra,Bhiwandi,,
N,"Shri Ganesh Cinema Bhoom-1, Bhoom, Maharashtra",CINEMA003483,locality,West,Maharashtra,Bhoom,,
N,"Palace Cinema Byculla-1, Byculla, Maharashtra",CINEMA003484,locality,West,Maharashtra,Byculla,,
N,"Purnima Talkies Dahanu - 1, Dahanu, Maharashtra",CINEMA003485,locality,West,Maharashtra,Dahanu,,
N,"Dreamland Cinema Grant Road-1, Grant Road, Maharashtra",CINEMA003486,locality,West,Maharashtra,Grant Road,,400027
N,"Prakash Chitra Mandir - Sangali, Kavthemahal, Maharashtra",CINEMA003487,locality,West,Maharashtra,Kavthemahal,,
N,"Suvarta Chitra Mandir Kupwad-1, Kupwad, Maharashtra",CINEMA003488,locality,West,Maharashtra,Kupwad,,416436
N,"Laxmi Talkies Kurduwadi, Kurduwadi, Maharashtra",CINEMA003489,locality,West,Maharashtra,Kurduwadi,,413208
N,"Bharat Cinema - Kurla - Screen 1, Kurla, Maharashtra",CINEMA003490,locality,West,Maharashtra,Kurla,,
N,"Rajlaxmi Cinema Lonand-1, Lonand, Maharashtra",CINEMA003491,locality,West,Maharashtra,Lonand,,
N,"Chitralaya Cinema Loni, Loni, Maharashtra",CINEMA003492,locality,West,Maharashtra,Loni,,413736
N,"Nath Ganga Multiplex - Screen No - 1, Loni, Maharashtra",CINEMA003493,locality,West,Maharashtra,Loni,,
N,"Vijay Talkies Nagpur-1, Nagpur, Maharashtra",CINEMA003494,locality,West,Maharashtra,Nagpur,,
N,"Mahaveer Talkies Parbhani-1, Parbhani, Maharashtra",CINEMA003495,locality,West,Maharashtra,Parbhani,,
N,"Crpf Camp Pulgaon-1, Pulgaon, Maharashtra",CINEMA003496,locality,West,Maharashtra,Pulgaon,,
N,"Adarsh Cineplex Saoner-1, Saoner, Maharashtra",CINEMA003497,locality,West,Maharashtra,Saoner,,441107
N,"Shri Bhairavnath Talkies - 1, Vita, Maharashtra",CINEMA003498,locality,West,Maharashtra,Vita,,415311
N,"Shriram Chitra Mandir Wadgaon - 1, Wadgaon, Maharashtra",CINEMA003499,locality,West,Maharashtra,Wadgaon,,412106
N,"Chhotu Maharaj Cine Cafe Jharsuguda-1, Jharsuguda, Orissa",CINEMA003500,locality,East,Odisha,Jharsuguda,,768201
N,"Chhotu Maharaj Titlagarh-1, Titlagarh, Orissa",CINEMA003501,locality,East,Odisha,Titlagarh,,767033
N,"City Cinema Abohar-1, Abohar, Punjab",CINEMA003502,locality,North,Punjab,Abohar,,
N,"Samar Miniplex Abohar-Blue Audi, Abohar, Punjab",CINEMA003503,locality,North,Punjab,Abohar,,152116
N,"Surya Multiplex Banga-1, Banga, Punjab",CINEMA003504,locality,North,Punjab,Banga,,144505
N,"Neelam Cinema Chandigarh-1, Chandigargh, Punjab",CINEMA003505,locality,North,Punjab,Chandigargh,,160017
N,"Gill Plaza Multiplex Faridkot-1, Faridkot, Punjab",CINEMA003506,locality,North,Punjab,Faridkot,,151203
N,"Lal Palace Cineplex Jagraon-1, Jagraon, Punjab",CINEMA003507,locality,North,Punjab,Jagraon,,
N,"Pv Star Cinema Jalalabad-1, Jalalabad, Punjab",CINEMA003508,locality,North,Punjab,Jalalabad,,
N,"Chand Multiplex Ludhiana-1, Ludhiana, Punjab",CINEMA003509,locality,North,Punjab,Ludhiana,,
N,"3D Miniplex Malerkota-1, Malerkotla, Punjab",CINEMA003510,locality,North,Punjab,Malerkotla,,148019
N,"Heena Video Parlor Malerkotla-1, Malerkotla, Punjab",CINEMA003511,locality,North,Punjab,Malerkotla,,148023
N,"Salh Multipex Morinda-1, Morinda, Punjab",CINEMA003512,locality,North,Punjab,Morinda,,140101
N,"Onam Cinema Mukeriyan-1, Mukerian, Punjab",CINEMA003513,locality,North,Punjab,Mukerian,,144211
N,"Kc Cineplex Nakodar-1, Nakodar, Punjab",CINEMA003514,locality,North,Punjab,Nakodar,,
N,"Kss Miniplex Nawashahr-Blue Audi, Nawanshahr, Punjab",CINEMA003515,locality,North,Punjab,Nawanshahr,,144514
N,"Kesar Talkies Pathankot Punjab-1, Pathankot, Punjab",CINEMA003516,locality,North,Punjab,Pathankot,,145026
N,"Solitaire Cinema Ropar-1, Ropar, Punjab",CINEMA003517,locality,North,Punjab,Ropar,,140001
N,"Fun Cineplex Talwandi Bhai-1, Talwandi Bhai, Punjab",CINEMA003518,locality,North,Punjab,Talwandi Bhai,,
N,"Manju Theatre Ludhiana-1, Ludhiana, Punjab",CINEMA003519,locality,North,Punjab,Ludhiana,,141008
N,"Connplex Smart Cinema Balotra-1, Balotra, Rajasthan",CINEMA003520,locality,North,Rajasthan,Balotra,,
N,"Geeta Cinema Karoli-1, Hindoncity, Rajasthan",CINEMA003521,locality,North,Rajasthan,Hindoncity,,
N,"Kesar Kala Mandir Kuchaman-1, Kuchmancity, Rajasthan",CINEMA003522,locality,North,Rajasthan,Kuchmancity,,341508
N,"Krishna Palace Cinema Malpura-1, Malpura, Rajasthan",CINEMA003523,locality,North,Rajasthan,Malpura,,
N,"Chhotu Maharaj Cine Cafe Nagaur-1, Nagaur, Rajasthan",CINEMA003524,locality,North,Rajasthan,Nagaur,,
N,"Laxmi Talkies Neemkathana-1, Neem Ka Thana, Rajasthan",CINEMA003525,locality,North,Rajasthan,Neem Ka Thana,,
N,"Gagan Cinema Phulera Jaipur-1, Phulera, Rajasthan",CINEMA003526,locality,North,Rajasthan,Phulera,,303338
N,"Bits Cinema Pilani-1, Pilani, Rajasthan",CINEMA003527,locality,North,Rajasthan,Pilani,,
N,"Chhotu Maharaj The Reel Cinema Sikar-1, Sikar, Rajasthan",CINEMA003528,locality,North,Rajasthan,Sikar,,332001
N,"Sai Laxmi Theatre Sirohi-1, Sirohi, Rajasthan",CINEMA003529,locality,North,Rajasthan,Sirohi,,
N,"Chhotu Maharaj Jeeman Resort Sujangarh-1, Sujangarh, Rajasthan",CINEMA003530,locality,North,Rajasthan,Sujangarh,,
N,"Bhagwati Talkies Jaipur -1, Hasteda, Rajasthan",CINEMA003531,locality,North,Rajasthan,Hasteda,,
N,"Aruna Theatre Arumbavur-1, Arumbavur, Tamil Nadu",CINEMA003532,locality,South,Tamil Nadu,Arumbavur,,
N,"Chhotu Maharaj Bluemoon Cinema Erode-1, Erode, Tamil Nadu",CINEMA003533,locality,South,Tamil Nadu,Erode,,
N,"Ganesha Theatre Paramathi Velur-1, Paramathi Velur, Tamil Nadu",CINEMA003534,locality,South,Tamil Nadu,Paramathi Velur,,638182
N,"Saravana Theatre Sankagiri-1, Sankagiri, Tamil Nadu",CINEMA003535,locality,South,Tamil Nadu,Sankagiri,,
N,"Aathimuthu Soroja Theater, Peravoorani, Tamil Nadu",CINEMA003536,locality,South,Tamil Nadu,Peravoorani,,
N,"Shish Mahal Cinema Hydrabad-1, Ameerpet, Telangana",CINEMA003537,locality,South,Telangana,Ameerpet,,500016
N,"Srinivasa Theatre Kadthal-1, Kadthal, Telangana",CINEMA003538,locality,South,Telangana,Kadthal,,
N,"Venkateshwara Theatre Kamanpur-1, Kamanpur, Telangana",CINEMA003539,locality,South,Telangana,Kamanpur,,505188
N,"Shivam Theatre Sarapaka-1, Sarapaka, Telangana",CINEMA003540,locality,South,Telangana,Sarapaka,,507128
N,"Venkateshwara Theatre Toopran-1, Toopran, Telangana",CINEMA003541,locality,South,Telangana,Toopran,,502334
N,"Yakut Mahal Theatre Yakutpura-1, Yakutpura, Telangana",CINEMA003542,locality,South,Telangana,Yakutpura,,
N,"Malleashwari Theatre Tirumalagiri-1, Tirumalagiri, Telangana",CINEMA003543,locality,South,Telangana,Tirumalagiri,,508223
N,"Ssr Balaka Cinema Agartala-1, Agartala, Tripura",CINEMA003544,locality,North East,Tripura,Agartala,,799001
N,"Ssr Rupasi Cinema Khowai-1, Khowai, Tripura",CINEMA003545,locality,North East,Tripura,Khowai,,799001
N,"Chhotu Maharaj Cine Cafe Agra-1, Agra, Uttar Pradesh",CINEMA003546,locality,North,Uttar Pradesh,Agra,,
N,"Chitra Talkies Agra-1, Agra, Uttar Pradesh",CINEMA003547,locality,North,Uttar Pradesh,Agra,,282002
N,"Heera Palace Agra-1, Agra, Uttar Pradesh",CINEMA003548,locality,North,Uttar Pradesh,Agra,,
N,"Shanti Cinema Agra-1, Agra, Uttar Pradesh",CINEMA003549,locality,North,Uttar Pradesh,Agra,,
N,"Jadooz Vashishta Cinema Aligarh-1, Aligarh, Uttar Pradesh",CINEMA003550,locality,North,Uttar Pradesh,Aligarh,,
N,"Meenakshi Cinema Aligarh-1, Aligarh, Uttar Pradesh",CINEMA003551,locality,North,Uttar Pradesh,Aligarh,,
N,"Vishal Talkies Buland Shahar-1, Bulandsahar, Uttar Pradesh",CINEMA003552,locality,North,Uttar Pradesh,Bulandsahar,,203001
N,"Chhotu Maharaj Cine Cafe Deoria-1, Deoria, Uttar Pradesh",CINEMA003553,locality,North,Uttar Pradesh,Deoria,,
N,"Chhotu Maharaj Niadermal Cine World Dhanaura-1, Dhanaura, Uttar Pradesh",CINEMA003554,locality,North,Uttar Pradesh,Dhanaura,,
N,"M Cinema Fatehpur-1, Fatehpur, Uttar Pradesh",CINEMA003555,locality,North,Uttar Pradesh,Fatehpur,,212635
N,"Sahu Chitra Mandir Fazil Nagar-1, Fazil Nagar, Uttar Pradesh",CINEMA003556,locality,North,Uttar Pradesh,Fazil Nagar,,
N,"Krishna Talkies Gauribazar-1, Gauribazar, Uttar Pradesh",CINEMA003557,locality,North,Uttar Pradesh,Gauribazar,,
N,"Apsara Cinema Ghaziabad-1, Ghaziabad, Uttar Pradesh",CINEMA003558,locality,North,Uttar Pradesh,Ghaziabad,,
N,"Kewal Dd Plex Jaunpur-1, Jaunpur, Uttar Pradesh",CINEMA003559,locality,North,Uttar Pradesh,Jaunpur,,
N,"Ram Chitra Mandir Jaunpur-1, Jaunpur, Uttar Pradesh",CINEMA003560,locality,North,Uttar Pradesh,Jaunpur,,
N,"Cps Cineshine Kannauj-1, Kannauj, Uttar Pradesh",CINEMA003561,locality,North,Uttar Pradesh,Kannauj,,209721
N,"Narain Miniplex Kannauj-1, Kannauj, Uttar Pradesh",CINEMA003562,locality,North,Uttar Pradesh,Kannauj,,209725
N,"Gunjan Cinema Kanpur-1, Kanpur, Uttar Pradesh",CINEMA003563,locality,North,Uttar Pradesh,Kanpur,,208003
N,"Jugul Palace Cinema Kanpur-1, Kanpur, Uttar Pradesh",CINEMA003564,locality,North,Uttar Pradesh,Kanpur,,
N,"Laxmi Talkies Kasganj-1, Kasganj, Uttar Pradesh",CINEMA003565,locality,North,Uttar Pradesh,Kasganj,,207123
N,"Sasia Miniplex Kasganj-1, Kasganj, Uttar Pradesh",CINEMA003566,locality,North,Uttar Pradesh,Kasganj,,
N,"Manju Shree Talkies Khadda-1, Khadda, Uttar Pradesh",CINEMA003567,locality,North,Uttar Pradesh,Khadda,,274802
N,"Chhotu Maharaj Cine Cafe Khushinagar-1, Kushinagar, Uttar Pradesh",CINEMA003568,locality,North,Uttar Pradesh,Kushinagar,,
N,"Chhotu Maharaj Cine Café Maharajganj-1, Maharajganj, Uttar Pradesh",CINEMA003569,locality,North,Uttar Pradesh,Maharajganj,,
N,"Krishna Talkies Mainpuri-1, Mainpuri, Uttar Pradesh",CINEMA003570,locality,North,Uttar Pradesh,Mainpuri,,
N,"Anurag Cinema Meerut-1, Meerut, Uttar Pradesh",CINEMA003571,locality,North,Uttar Pradesh,Meerut,,
N,"Regal Cinema Meerut-1, Meerut, Uttar Pradesh",CINEMA003572,locality,North,Uttar Pradesh,Meerut,,250001
N,"Gyan Palace Mahmoodabad-1, Mehmoodabad, Uttar Pradesh",CINEMA003573,locality,North,Uttar Pradesh,Mehmoodabad,,
N,"Chhotu Maharaj Cine Cafe Pilibhit-1, Pilibhit, Uttar Pradesh",CINEMA003574,locality,North,Uttar Pradesh,Pilibhit,,262001
N,"Prasad Talkies Puranpur-1, Puranpur, Uttar Pradesh",CINEMA003575,locality,North,Uttar Pradesh,Puranpur,,
N,"Chhotu Maharaj Cine Cafe Rath-1, Rath, Uttar Pradesh",CINEMA003576,locality,North,Uttar Pradesh,Rath,,
N,"Aman Talkies Saharanpur-1, Saharanpur, Uttar Pradesh",CINEMA003577,locality,North,Uttar Pradesh,Saharanpur,,247001
N,"Tulsi Cinema Sambhal-1, Sambhal, Uttar Pradesh",CINEMA003578,locality,North,Uttar Pradesh,Sambhal,,
N,"Chhotu Maharaj Sehmalpur Varanasi-1, Sehmalpur, Uttar Pradesh",CINEMA003579,locality,North,Uttar Pradesh,Sehmalpur,,
N,"Amba Cineplex Shahjahanpur-1, Shahjahanpur, Uttar Pradesh",CINEMA003580,locality,North,Uttar Pradesh,Shahjahanpur,,
N,"Chhotu Maharaj Varanasi-1, Varanasi, Uttar Pradesh",CINEMA003581,locality,North,Uttar Pradesh,Varanasi,,221108
N,"Jadooz Cinema Vrindavan-1, Vrindavan, Uttar Pradesh",CINEMA003582,locality,North,Uttar Pradesh,Vrindavan,,
N,"Sangeeta Cinema Agra-1, Agra, Uttar Pradesh",CINEMA003583,locality,North,Uttar Pradesh,Agra,,
N,"Janki Chitra Mandir Bhinga-1, Bhinga, Uttar Pradesh",CINEMA003584,locality,North,Uttar Pradesh,Bhinga,,271831
N,"Prakash Cinema Mubarakpur-1, Mubarakpur, Uttar Pradesh",CINEMA003585,locality,North,Uttar Pradesh,Mubarakpur,,276404
N,"Sahu Picture Palace Nagina-1, Nagina, Uttar Pradesh",CINEMA003586,locality,North,Uttar Pradesh,Nagina,,246762
N,"Sharma Palace Bazpur-1, Bazpur, Uttarakhand",CINEMA003587,locality,North,Uttarakhand,Bazpur,,
N,"Chhayadeep Cinema Dehradun-1, Dehradun, Uttarakhand",CINEMA003588,locality,North,Uttarakhand,Dehradun,,248001
N,"Chhotu Maharaj Amit Enterprises Haridwar-1, Haridwar, Uttarakhand",CINEMA003589,locality,North,Uttarakhand,Haridwar,,249410
N,"Chhotu Maharaj Cine Cafe Khatima-1, Khatima, Uttarakhand",CINEMA003590,locality,North,Uttarakhand,Khatima,,262308
