,Primary Product Information,,,,,,,,,General Filters,,,,Specifications,,,,
Delete,Product Name,Sku,Short Description,Meta Title,Meta Description,Meta Keywords,Image,Sort Order,Status,Cinema Chain,Screen Recomend,Audience Class,Tier Preference,Seats,Screen,Rank,Total Screen,Google Map Location
N,"Qube Sri Krishna Theatre., Aliabad, Telangana",CINEMA002396,"Located on Qube Sri Krishna Theatre., Aliabad, Telangana","Advertising in Qube Sri Krishna Theatre., Aliabad, Telangana | Excellent Publicity","Advertising Rate for Qube Sri Krishna Theatre., Aliabad, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 3,318,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Sri%20Krishna%20Theatre.%2C%20Aliabad%2C%20Telangana
N,"Qube Sri Lakshmi Deluxe, Hyderabad, Telangana",CINEMA002397,"Located on Qube Sri Lakshmi Deluxe, Hyderabad, Telangana","Advertising in Qube Sri Lakshmi Deluxe, Hyderabad, Telangana | Excellent Publicity","Advertising Rate for Qube Sri Lakshmi Deluxe, Hyderabad, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Gold,Tier 1,626,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Sri%20Lakshmi%20Deluxe%2C%20Hyderabad%2C%20Telangana
N,"Qube Sri Lakshmi Srinivasa Theatre, Madhira, Telangana",CINEMA002398,"Located on Qube Sri Lakshmi Srinivasa Theatre, Madhira, Telangana","Advertising in Qube Sri Lakshmi Srinivasa Theatre, Madhira, Telangana | Excellent Publicity","Advertising Rate for Qube Sri Lakshmi Srinivasa Theatre, Madhira, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 3,516,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Sri%20Lakshmi%20Srinivasa%20Theatre%2C%20Madhira%2C%20Telangana
N,"Qube Sri Laxmi Mahal 70 MM Theatre, Tandur, Telangana",CINEMA002399,"Located on Qube Sri Laxmi Mahal 70 MM Theatre, Tandur, Telangana","Advertising in Qube Sri Laxmi Mahal 70 MM Theatre, Tandur, Telangana | Excellent Publicity","Advertising Rate for Qube Sri Laxmi Mahal 70 MM Theatre, Tandur, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 3,518,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Sri%20Laxmi%20Mahal%2070%20MM%20Theatre%2C%20Tandur%2C%20Telangana
N,"Qube Sri Mohan Talkies, Zaheerabad, Telangana",CINEMA002400,"Located on Qube Sri Mohan Talkies, Zaheerabad, Telangana","Advertising in Qube Sri Mohan Talkies, Zaheerabad, Telangana | Excellent Publicity","Advertising Rate for Qube Sri Mohan Talkies, Zaheerabad, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 3,748,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Sri%20Mohan%20Talkies%2C%20Zaheerabad%2C%20Telangana
N,"Qube Sri Prema 70MM, Hyderabad, Telangana",CINEMA002401,"Located on Qube Sri Prema 70MM, Hyderabad, Telangana","Advertising in Qube Sri Prema 70MM, Hyderabad, Telangana | Excellent Publicity","Advertising Rate for Qube Sri Prema 70MM, Hyderabad, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Gold,Tier 1,960,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Sri%20Prema%2070MM%2C%20Hyderabad%2C%20Telangana
N,"Qube Sri Raghavendra Talkies, Makthal, Telangana",CINEMA002402,"Located on Qube Sri Raghavendra Talkies, Makthal, Telangana","Advertising in Qube Sri Raghavendra Talkies, Makthal, Telangana | Excellent Publicity","Advertising Rate for Qube Sri Raghavendra Talkies, Makthal, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 3,300,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Sri%20Raghavendra%20Talkies%2C%20Makthal%2C%20Telangana
N,"Qube Sri Rama Krishna 70MM A/C DTS, Nakrekal, Telangana",CINEMA002403,"Located on Qube Sri Rama Krishna 70MM A/C DTS, Nakrekal, Telangana","Advertising in Qube Sri Rama Krishna 70MM A/C DTS, Nakrekal, Telangana | Excellent Publicity","Advertising Rate for Qube Sri Rama Krishna 70MM A/C DTS, Nakrekal, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 3,655,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Sri%20Rama%20Krishna%2070MM%20A%2FC%20DTS%2C%20Nakrekal%2C%20Telangana
N,"Qube Sri Ramana Theatre 35 MM, Nagarkurnool, Telangana",CINEMA002404,"Located on Qube Sri Ramana Theatre 35 MM, Nagarkurnool, Telangana","Advertising in Qube Sri Ramana Theatre 35 MM, Nagarkurnool, Telangana | Excellent Publicity","Advertising Rate for Qube Sri Ramana Theatre 35 MM, Nagarkurnool, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Gold,Tier 3,504,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Sri%20Ramana%20Theatre%2035%20MM%2C%20Nagarkurnool%2C%20Telangana
N,"Qube Sri Ranga Theatre, Mahabubnagar, Telangana",CINEMA002405,"Located on Qube Sri Ranga Theatre, Mahabubnagar, Telangana","Advertising in Qube Sri Ranga Theatre, Mahabubnagar, Telangana | Excellent Publicity","Advertising Rate for Qube Sri Ranga Theatre, Mahabubnagar, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 2,421,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Sri%20Ranga%20Theatre%2C%20Mahabubnagar%2C%20Telangana
N,"Qube Sri Sai Raja Deluxe 70 MM, Hyderabad, Telangana",CINEMA002406,"Located on Qube Sri Sai Raja Deluxe 70 MM, Hyderabad, Telangana","Advertising in Qube Sri Sai Raja Deluxe 70 MM, Hyderabad, Telangana | Excellent Publicity","Advertising Rate for Qube Sri Sai Raja Deluxe 70 MM, Hyderabad, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Gold,Tier 1,909,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Sri%20Sai%20Raja%20Deluxe%2070%20MM%2C%20Hyderabad%2C%20Telangana
N,"Qube Sri Sai Ram Theater, Achampet, Telangana",CINEMA002407,"Located on Qube Sri Sai Ram Theater, Achampet, Telangana","Advertising in Qube Sri Sai Ram Theater, Achampet, Telangana | Excellent Publicity","Advertising Rate for Qube Sri Sai Ram Theater, Achampet, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 3,525,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Sri%20Sai%20Ram%20Theater%2C%20Achampet%2C%20Telangana
N,"Qube Sri Satyalakshmi 70MM, Achampet, Telangana",CINEMA002408,"Located on Qube Sri Satyalakshmi 70MM, Achampet, Telangana","Advertising in Qube Sri Satyalakshmi 70MM, Achampet, Telangana | Excellent Publicity","Advertising Rate for Qube Sri Satyalakshmi 70MM, Achampet, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Gold,Tier 3,529,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Sri%20Satyalakshmi%2070MM%2C%20Achampet%2C%20Telangana
N,"Qube Sri Satyanarayana Talkies, Chandur, Telangana",CINEMA002409,"Located on Qube Sri Satyanarayana Talkies, Chandur, Telangana","Advertising in Qube Sri Satyanarayana Talkies, Chandur, Telangana | Excellent Publicity","Advertising Rate for Qube Sri Satyanarayana Talkies, Chandur, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 3,248,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Sri%20Satyanarayana%20Talkies%2C%20Chandur%2C%20Telangana
N,"Qube Sri Shiva Sai Deluxe Theatre, Ieeja, Telangana",CINEMA002410,"Located on Qube Sri Shiva Sai Deluxe Theatre, Ieeja, Telangana","Advertising in Qube Sri Shiva Sai Deluxe Theatre, Ieeja, Telangana | Excellent Publicity","Advertising Rate for Qube Sri Shiva Sai Deluxe Theatre, Ieeja, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 3,327,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Sri%20Shiva%20Sai%20Deluxe%20Theatre%2C%20Ieeja%2C%20Telangana
N,"Qube Sri Tirumala 70MM AC Theatre, Khammam, Telangana",CINEMA002411,"Located on Qube Sri Tirumala 70MM AC Theatre, Khammam, Telangana","Advertising in Qube Sri Tirumala 70MM AC Theatre, Khammam, Telangana | Excellent Publicity","Advertising Rate for Qube Sri Tirumala 70MM AC Theatre, Khammam, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 2,714,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Sri%20Tirumala%2070MM%20AC%20Theatre%2C%20Khammam%2C%20Telangana
N,"Qube Sri Udaya Bhaskara Picture Palace, Khammam, Telangana",CINEMA002412,"Located on Qube Sri Udaya Bhaskara Picture Palace, Khammam, Telangana","Advertising in Qube Sri Udaya Bhaskara Picture Palace, Khammam, Telangana | Excellent Publicity","Advertising Rate for Qube Sri Udaya Bhaskara Picture Palace, Khammam, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 2,699,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Sri%20Udaya%20Bhaskara%20Picture%20Palace%2C%20Khammam%2C%20Telangana
N,"Qube Sri Venkata Sai Theatre, Keesara, Telangana",CINEMA002413,"Located on Qube Sri Venkata Sai Theatre, Keesara, Telangana","Advertising in Qube Sri Venkata Sai Theatre, Keesara, Telangana | Excellent Publicity","Advertising Rate for Qube Sri Venkata Sai Theatre, Keesara, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 3,350,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Sri%20Venkata%20Sai%20Theatre%2C%20Keesara%2C%20Telangana
N,"Qube Sri Venkatarama Picture Palace, Miryalaguda, Telangana",CINEMA002414,"Located on Qube Sri Venkatarama Picture Palace, Miryalaguda, Telangana","Advertising in Qube Sri Venkatarama Picture Palace, Miryalaguda, Telangana | Excellent Publicity","Advertising Rate for Qube Sri Venkatarama Picture Palace, Miryalaguda, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 2,350,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Sri%20Venkatarama%20Picture%20Palace%2C%20Miryalaguda%2C%20Telangana
N,"Qube Sri Venkateshwara, Kollapur, Telangana",CINEMA002415,"Located on Qube Sri Venkateshwara, Kollapur, Telangana","Advertising in Qube Sri Venkateshwara, Kollapur, Telangana | Excellent Publicity","Advertising Rate for Qube Sri Venkateshwara, Kollapur, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 3,320,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Sri%20Venkateshwara%2C%20Kollapur%2C%20Telangana
N,"Qube Sri Venkateshwara Talkies, Mancherial, Telangana",CINEMA002416,"Located on Qube Sri Venkateshwara Talkies, Mancherial, Telangana","Advertising in Qube Sri Venkateshwara Talkies, Mancherial, Telangana | Excellent Publicity","Advertising Rate for Qube Sri Venkateshwara Talkies, Mancherial, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 2,714,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Sri%20Venkateshwara%20Talkies%2C%20Mancherial%2C%20Telangana
N,"Qube Sri Venkateswara 70MM A/C, Bodhan, Telangana",CINEMA002417,"Located on Qube Sri Venkateswara 70MM A/C, Bodhan, Telangana","Advertising in Qube Sri Venkateswara 70MM A/C, Bodhan, Telangana | Excellent Publicity","Advertising Rate for Qube Sri Venkateswara 70MM A/C, Bodhan, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 3,485,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Sri%20Venkateswara%2070MM%20A%2FC%2C%20Bodhan%2C%20Telangana
N,"Qube Sri Venkateswara Cinemax, Zaheerabad, Telangana",CINEMA002418,"Located on Qube Sri Venkateswara Cinemax, Zaheerabad, Telangana","Advertising in Qube Sri Venkateswara Cinemax, Zaheerabad, Telangana | Excellent Publicity","Advertising Rate for Qube Sri Venkateswara Cinemax, Zaheerabad, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 3,421,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Sri%20Venkateswara%20Cinemax%2C%20Zaheerabad%2C%20Telangana
N,"Qube Sri Venkateswara Theatre, Nakrekal, Telangana",CINEMA002419,"Located on Qube Sri Venkateswara Theatre, Nakrekal, Telangana","Advertising in Qube Sri Venkateswara Theatre, Nakrekal, Telangana | Excellent Publicity","Advertising Rate for Qube Sri Venkateswara Theatre, Nakrekal, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 3,712,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Sri%20Venkateswara%20Theatre%2C%20Nakrekal%2C%20Telangana
N,"Qube Srinivasa 70MM A/c Theatre, Mahabubnagar, Telangana",CINEMA002420,"Located on Qube Srinivasa 70MM A/c Theatre, Mahabubnagar, Telangana","Advertising in Qube Srinivasa 70MM A/c Theatre, Mahabubnagar, Telangana | Excellent Publicity","Advertising Rate for Qube Srinivasa 70MM A/c Theatre, Mahabubnagar, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 2,700,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Srinivasa%2070MM%20A%2Fc%20Theatre%2C%20Mahabubnagar%2C%20Telangana
N,"Qube Srinivasa 70mm A/c Theatre, Mancherial, Telangana",CINEMA002421,"Located on Qube Srinivasa 70mm A/c Theatre, Mancherial, Telangana","Advertising in Qube Srinivasa 70mm A/c Theatre, Mancherial, Telangana | Excellent Publicity","Advertising Rate for Qube Srinivasa 70mm A/c Theatre, Mancherial, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 2,875,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Srinivasa%2070mm%20A%2Fc%20Theatre%2C%20Mancherial%2C%20Telangana
N,"Qube Srinivasa Talkies, Choppadandi, Telangana",CINEMA002422,"Located on Qube Srinivasa Talkies, Choppadandi, Telangana","Advertising in Qube Srinivasa Talkies, Choppadandi, Telangana | Excellent Publicity","Advertising Rate for Qube Srinivasa Talkies, Choppadandi, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 3,298,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Srinivasa%20Talkies%2C%20Choppadandi%2C%20Telangana
N,"Qube Srinivasa Theatre, Siddipet, Telangana",CINEMA002423,"Located on Qube Srinivasa Theatre, Siddipet, Telangana","Advertising in Qube Srinivasa Theatre, Siddipet, Telangana | Excellent Publicity","Advertising Rate for Qube Srinivasa Theatre, Siddipet, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 2,660,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Srinivasa%20Theatre%2C%20Siddipet%2C%20Telangana
N,"Qube Srinivasa Theatre, Mahabubnagar, Telangana",CINEMA002424,"Located on Qube Srinivasa Theatre, Mahabubnagar, Telangana","Advertising in Qube Srinivasa Theatre, Mahabubnagar, Telangana | Excellent Publicity","Advertising Rate for Qube Srinivasa Theatre, Mahabubnagar, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 2,700,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Srinivasa%20Theatre%2C%20Mahabubnagar%2C%20Telangana
N,"Qube Sudarshan 35 MM, Hyderabad, Telangana",CINEMA002425,"Located on Qube Sudarshan 35 MM, Hyderabad, Telangana","Advertising in Qube Sudarshan 35 MM, Hyderabad, Telangana | Excellent Publicity","Advertising Rate for Qube Sudarshan 35 MM, Hyderabad, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Gold,Tier 1,1216,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Sudarshan%2035%20MM%2C%20Hyderabad%2C%20Telangana
N,"Qube Sun Cinemas, Warangal, Telangana",CINEMA002426,"Located on Qube Sun Cinemas, Warangal, Telangana","Advertising in Qube Sun Cinemas, Warangal, Telangana | Excellent Publicity","Advertising Rate for Qube Sun Cinemas, Warangal, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 2,595,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Sun%20Cinemas%2C%20Warangal%2C%20Telangana
N,"Qube Super 70MM, Hyderabad, Telangana",CINEMA002427,"Located on Qube Super 70MM, Hyderabad, Telangana","Advertising in Qube Super 70MM, Hyderabad, Telangana | Excellent Publicity","Advertising Rate for Qube Super 70MM, Hyderabad, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Gold,Tier 1,976,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Super%2070MM%2C%20Hyderabad%2C%20Telangana
N,"Qube Surya Kalamandir, Nekkonda, Telangana",CINEMA002428,"Located on Qube Surya Kalamandir, Nekkonda, Telangana","Advertising in Qube Surya Kalamandir, Nekkonda, Telangana | Excellent Publicity","Advertising Rate for Qube Surya Kalamandir, Nekkonda, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 3,350,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Surya%20Kalamandir%2C%20Nekkonda%2C%20Telangana
N,"Qube Surya Kalamandir, Mahabubabad, Telangana",CINEMA002429,"Located on Qube Surya Kalamandir, Mahabubabad, Telangana","Advertising in Qube Surya Kalamandir, Mahabubabad, Telangana | Excellent Publicity","Advertising Rate for Qube Surya Kalamandir, Mahabubabad, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 3,696,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Surya%20Kalamandir%2C%20Mahabubabad%2C%20Telangana
N,"Qube Sushma Theatre 70MM, Hyderabad, Telangana",CINEMA002430,"Located on Qube Sushma Theatre 70MM, Hyderabad, Telangana","Advertising in Qube Sushma Theatre 70MM, Hyderabad, Telangana | Excellent Publicity","Advertising Rate for Qube Sushma Theatre 70MM, Hyderabad, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Gold,Tier 1,1032,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Sushma%20Theatre%2070MM%2C%20Hyderabad%2C%20Telangana
N,"Qube Tarakarama Cineplex, Hyderabad, Telangana",CINEMA002431,"Located on Qube Tarakarama Cineplex, Hyderabad, Telangana","Advertising in Qube Tarakarama Cineplex, Hyderabad, Telangana | Excellent Publicity","Advertising Rate for Qube Tarakarama Cineplex, Hyderabad, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Gold,Tier 1,596,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Tarakarama%20Cineplex%2C%20Hyderabad%2C%20Telangana
N,"Qube Tirumala Kalamandir, Mulugu, Telangana",CINEMA002432,"Located on Qube Tirumala Kalamandir, Mulugu, Telangana","Advertising in Qube Tirumala Kalamandir, Mulugu, Telangana | Excellent Publicity","Advertising Rate for Qube Tirumala Kalamandir, Mulugu, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 3,465,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Tirumala%20Kalamandir%2C%20Mulugu%2C%20Telangana
N,"Qube Tivoli Cinema, Hyderabad, Telangana",CINEMA002433,"Located on Qube Tivoli Cinema, Hyderabad, Telangana","Advertising in Qube Tivoli Cinema, Hyderabad, Telangana | Excellent Publicity","Advertising Rate for Qube Tivoli Cinema, Hyderabad, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,,Tier 1,248,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Tivoli%20Cinema%2C%20Hyderabad%2C%20Telangana
N,"Qube Tivoli Talkies, Hyderabad, Telangana",CINEMA002434,"Located on Qube Tivoli Talkies, Hyderabad, Telangana","Advertising in Qube Tivoli Talkies, Hyderabad, Telangana | Excellent Publicity","Advertising Rate for Qube Tivoli Talkies, Hyderabad, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,,Tier 1,232,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Tivoli%20Talkies%2C%20Hyderabad%2C%20Telangana
N,"Qube Tivoli Talkies Mini, Hyderabad, Telangana",CINEMA002435,"Located on Qube Tivoli Talkies Mini, Hyderabad, Telangana","Advertising in Qube Tivoli Talkies Mini, Hyderabad, Telangana | Excellent Publicity","Advertising Rate for Qube Tivoli Talkies Mini, Hyderabad, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,,Tier 1,422,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Tivoli%20Talkies%20Mini%2C%20Hyderabad%2C%20Telangana
N,"Qube Tivoli Xtreme ( formerly Lamba 70MM ), Hyderabad, Telangana",CINEMA002436,"Located on Qube Tivoli Xtreme ( formerly Lamba 70MM ), Hyderabad, Telangana","Advertising in Qube Tivoli Xtreme ( formerly Lamba 70MM ), Hyderabad, Telangana | Excellent Publicity","Advertising Rate for Qube Tivoli Xtreme ( formerly Lamba 70MM ), Hyderabad, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,,Tier 1,390,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Tivoli%20Xtreme%20(%20formerly%20Lamba%2070MM%20)%2C%20Hyderabad%2C%20Telangana
N,"Qube Uravashi Theatre, Bhupalapally, Telangana",CINEMA002437,"Located on Qube Uravashi Theatre, Bhupalapally, Telangana","Advertising in Qube Uravashi Theatre, Bhupalapally, Telangana | Excellent Publicity","Advertising Rate for Qube Uravashi Theatre, Bhupalapally, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 3,850,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Uravashi%20Theatre%2C%20Bhupalapally%2C%20Telangana
N,"Qube Usha Prasad Multiplex Screen 1 (formerly referred as Scr 3), Nizamabad, Telangana",CINEMA002438,"Located on Qube Usha Prasad Multiplex Screen 1 (formerly referred as Scr 3), Nizamabad, Telangana","Advertising in Qube Usha Prasad Multiplex Screen 1 (formerly referred as Scr 3), Nizamabad, Telangana | Excellent Publicity","Advertising Rate for Qube Usha Prasad Multiplex Screen 1 (formerly referred as Scr 3), Nizamabad, Telangana",,qubecinemalogo.jpeg,1,1,Qube,3,Gold,Tier 2,335,,,3,https://www.google.com/maps/search/?api=1&query=Qube%20Usha%20Prasad%20Multiplex%20Screen%201%20(formerly%20referred%20as%20Scr%203)%2C%20Nizamabad%2C%20Telangana
N,"Qube V L S Sree Rama Theatre, Jagtial, Telangana",CINEMA002439,"Located on Qube V L S Sree Rama Theatre, Jagtial, Telangana","Advertising in Qube V L S Sree Rama Theatre, Jagtial, Telangana | Excellent Publicity","Advertising Rate for Qube V L S Sree Rama Theatre, Jagtial, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 3,662,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20V%20L%20S%20Sree%20Rama%20Theatre%2C%20Jagtial%2C%20Telangana
N,"Qube Vasavi Theatre, Wyra, Telangana",CINEMA002440,"Located on Qube Vasavi Theatre, Wyra, Telangana","Advertising in Qube Vasavi Theatre, Wyra, Telangana | Excellent Publicity","Advertising Rate for Qube Vasavi Theatre, Wyra, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 3,492,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Vasavi%20Theatre%2C%20Wyra%2C%20Telangana
N,"Qube Venakateswara Theatre, Pebbair, Telangana",CINEMA002441,"Located on Qube Venakateswara Theatre, Pebbair, Telangana","Advertising in Qube Venakateswara Theatre, Pebbair, Telangana | Excellent Publicity","Advertising Rate for Qube Venakateswara Theatre, Pebbair, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 3,392,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Venakateswara%20Theatre%2C%20Pebbair%2C%20Telangana
N,"Qube Venkata Rama Theater, Tallada, Telangana",CINEMA002442,"Located on Qube Venkata Rama Theater, Tallada, Telangana","Advertising in Qube Venkata Rama Theater, Tallada, Telangana | Excellent Publicity","Advertising Rate for Qube Venkata Rama Theater, Tallada, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 3,250,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Venkata%20Rama%20Theater%2C%20Tallada%2C%20Telangana
N,"Qube Venkata Ramana Theatre, Jadcherla, Telangana",CINEMA002443,"Located on Qube Venkata Ramana Theatre, Jadcherla, Telangana","Advertising in Qube Venkata Ramana Theatre, Jadcherla, Telangana | Excellent Publicity","Advertising Rate for Qube Venkata Ramana Theatre, Jadcherla, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 3,520,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Venkata%20Ramana%20Theatre%2C%20Jadcherla%2C%20Telangana
N,"Qube Venkateshwara Theatre, Khammam, Telangana",CINEMA002444,"Located on Qube Venkateshwara Theatre, Khammam, Telangana","Advertising in Qube Venkateshwara Theatre, Khammam, Telangana | Excellent Publicity","Advertising Rate for Qube Venkateshwara Theatre, Khammam, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 2,543,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Venkateshwara%20Theatre%2C%20Khammam%2C%20Telangana
N,"Qube Venkateshwara Theatre - Tirumalgiri, Nalgonda, Telangana",CINEMA002445,"Located on Qube Venkateshwara Theatre - Tirumalgiri, Nalgonda, Telangana","Advertising in Qube Venkateshwara Theatre - Tirumalgiri, Nalgonda, Telangana | Excellent Publicity","Advertising Rate for Qube Venkateshwara Theatre - Tirumalgiri, Nalgonda, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 2,441,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Venkateshwara%20Theatre%20-%20Tirumalgiri%2C%20Nalgonda%2C%20Telangana
N,"Qube Venkateswara Deluxe Theatre, Mukarampura, Telangana",CINEMA002446,"Located on Qube Venkateswara Deluxe Theatre, Mukarampura, Telangana","Advertising in Qube Venkateswara Deluxe Theatre, Mukarampura, Telangana | Excellent Publicity","Advertising Rate for Qube Venkateswara Deluxe Theatre, Mukarampura, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 3,826,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Venkateswara%20Deluxe%20Theatre%2C%20Mukarampura%2C%20Telangana
N,"Qube Venkateswara Theatre, Chevella, Telangana",CINEMA002447,"Located on Qube Venkateswara Theatre, Chevella, Telangana","Advertising in Qube Venkateswara Theatre, Chevella, Telangana | Excellent Publicity","Advertising Rate for Qube Venkateswara Theatre, Chevella, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,Silver,Tier 3,515,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Venkateswara%20Theatre%2C%20Chevella%2C%20Telangana
N,"Qube Vijayalakshmi 70 MM, Hyderabad, Telangana",CINEMA002448,"Located on Qube Vijayalakshmi 70 MM, Hyderabad, Telangana","Advertising in Qube Vijayalakshmi 70 MM, Hyderabad, Telangana | Excellent Publicity","Advertising Rate for Qube Vijayalakshmi 70 MM, Hyderabad, Telangana",,qubecinemalogo.jpeg,1,1,Qube,1,,Tier 1,644,,,1,https://www.google.com/maps/search/?api=1&query=Qube%20Vijayalakshmi%2070%20MM%2C%20Hyderabad%2C%20Telangana
