,Primary Product Information,,,,,,,,,General Filters,,,,Specifications,,,,
Delete,Product Name,Sku,Short Description,Meta Title,Meta Description,Meta Keywords,Image,Sort Order,Status,Cinema Chain,Screen Recomend,Audience Class,Tier Preference,Seats,Screen,Rank,Total Screen,Google Map Location
N,"Pvr Inox Star Mall, Madhyamgram, Kolkata, West Bengal",CINEMA000038,"Located on Pvr Inox Star Mall, Madhyamgram, Kolkata, West Bengal","Advertising in Pvr Inox Star Mall, Madhyamgram, Kolkata, West Bengal | Excellent Publicity","Advertising Rate for Pvr Inox Star Mall, Madhyamgram, Kolkata, West Bengal",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Gold,Tier 1,809,,,4,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Star+Mall%2C+Madhyamgram%2C+KOLKATA%2C+WEST+BENGAL
N,"Pvr Inox Swabhumi, Kolkata, West Bengal",CINEMA000039,"Located on Pvr Inox Swabhumi, Kolkata, West Bengal","Advertising in Pvr Inox Swabhumi, Kolkata, West Bengal | Excellent Publicity","Advertising Rate for Pvr Inox Swabhumi, Kolkata, West Bengal",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Gold,Tier 1,1022,,,4,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Swabhumi%2C+KOLKATA%2C+WEST+BENGAL
N,"Pvr Jessore Rd Kolkatta, Kolkata, West Bengal",CINEMA000040,"Located on Pvr Jessore Rd Kolkatta, Kolkata, West Bengal","Advertising in Pvr Jessore Rd Kolkatta, Kolkata, West Bengal | Excellent Publicity","Advertising Rate for Pvr Jessore Rd Kolkatta, Kolkata, West Bengal",,pvrcinemalogo.webp,1,1,Pvr-inox,5,Gold,Tier 1,1146,,,5,https://www.google.com/maps/search/?api=1&query=Pvr+Jessore+Rd+Kolkatta%2C+KOLKATA%2C+WEST+BENGAL
N,"Pvr Inox Ambuja City Centre, Matigara, Siliguri, West Bengal",CINEMA000041,"Located on Pvr Inox Ambuja City Centre, Matigara, Siliguri, West Bengal","Advertising in Pvr Inox Ambuja City Centre, Matigara, Siliguri, West Bengal | Excellent Publicity","Advertising Rate for Pvr Inox Ambuja City Centre, Matigara, Siliguri, West Bengal",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Silver,Tier 2,1199,,,4,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Ambuja+City+Centre%2C+Matigara%2C+SILIGURI%2C+WEST+BENGAL
N,"Pvr Inox Orbit Mall, Vega Circle Sevoke Road, Siliguri, West Bengal",CINEMA000042,"Located on Pvr Inox Orbit Mall, Vega Circle Sevoke Road, Siliguri, West Bengal","Advertising in Pvr Inox Orbit Mall, Vega Circle Sevoke Road, Siliguri, West Bengal | Excellent Publicity","Advertising Rate for Pvr Inox Orbit Mall, Vega Circle Sevoke Road, Siliguri, West Bengal",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Silver,Tier 2,1026,,,4,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Orbit+Mall%2C+Vega+Circle+Sevoke+Road%2C+SILIGURI%2C+WEST+BENGAL
N,"Pvr Inox Acropolis Siliguri, Siliguri, West Bengal",CINEMA000043,"Located on Pvr Inox Acropolis Siliguri, Siliguri, West Bengal","Advertising in Pvr Inox Acropolis Siliguri, Siliguri, West Bengal | Excellent Publicity","Advertising Rate for Pvr Inox Acropolis Siliguri, Siliguri, West Bengal",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Silver,Tier 2,931,,,4,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Acropolis+Siliguri%2C+SILIGURI%2C+WEST+BENGAL
N,"Pvr Inox Westpoint Mall Gangtok, Gangtok, Sikkim",CINEMA000044,"Located on Pvr Inox Westpoint Mall Gangtok, Gangtok, Sikkim","Advertising in Pvr Inox Westpoint Mall Gangtok, Gangtok, Sikkim | Excellent Publicity","Advertising Rate for Pvr Inox Westpoint Mall Gangtok, Gangtok, Sikkim",,pvrcinemalogo.webp,1,1,Pvr-inox,3,Silver,Tier 3,482,,,3,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Westpoint+Mall+Gangtok%2C+Gangtok%2C+Sikkim
N,"Pvr Centra - Chandigarh, Chandigarh, Chandigarh",CINEMA000045,"Located on Pvr Centra - Chandigarh, Chandigarh, Chandigarh","Advertising in Pvr Centra - Chandigarh, Chandigarh, Chandigarh | Excellent Publicity","Advertising Rate for Pvr Centra - Chandigarh, Chandigarh, Chandigarh",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Silver,Tier 2,1141,,,4,https://www.google.com/maps/search/?api=1&query=Pvr+Centra+-+Chandigarh%2C+CHANDIGARH%2C+CHANDIGARH
N,"Pvr Dlf City Centre Mall Chandigarh, Chandigarh, Chandigarh",CINEMA000046,"Located on Pvr Dlf City Centre Mall Chandigarh, Chandigarh, Chandigarh","Advertising in Pvr Dlf City Centre Mall Chandigarh, Chandigarh, Chandigarh | Excellent Publicity","Advertising Rate for Pvr Dlf City Centre Mall Chandigarh, Chandigarh, Chandigarh",,pvrcinemalogo.webp,1,1,Pvr-inox,3,Gold,Tier 2,704,,,3,https://www.google.com/maps/search/?api=1&query=Pvr+Dlf+City+Centre+Mall+Chandigarh%2C+CHANDIGARH%2C+CHANDIGARH
N,"Pvr Elante Mall - Chandigarh, Chandigarh, Chandigarh",CINEMA000047,"Located on Pvr Elante Mall - Chandigarh, Chandigarh, Chandigarh","Advertising in Pvr Elante Mall - Chandigarh, Chandigarh, Chandigarh | Excellent Publicity","Advertising Rate for Pvr Elante Mall - Chandigarh, Chandigarh, Chandigarh",,pvrcinemalogo.webp,1,1,Pvr-inox,8,Icon,Tier 2,1599,,,8,https://www.google.com/maps/search/?api=1&query=Pvr+Elante+Mall+-+Chandigarh%2C+CHANDIGARH%2C+CHANDIGARH
N,"Pvr - Subhash Nagar, New Delhi, Delhi",CINEMA000048,"Located on Pvr - Subhash Nagar, New Delhi, Delhi","Advertising in Pvr - Subhash Nagar, New Delhi, Delhi | Excellent Publicity","Advertising Rate for Pvr - Subhash Nagar, New Delhi, Delhi",,pvrcinemalogo.webp,1,1,Pvr-inox,6,Icon,Tier 1,1088,,,6,https://www.google.com/maps/search/?api=1&query=Pvr+-+Subhash+Nagar%2C+NEW+DELHI%2C+DELHI
N,"Pvr 3C'S - Lajpat Nagar, New Delhi, Delhi",CINEMA000049,"Located on Pvr 3C'S - Lajpat Nagar, New Delhi, Delhi","Advertising in Pvr 3C'S - Lajpat Nagar, New Delhi, Delhi | Excellent Publicity","Advertising Rate for Pvr 3C'S - Lajpat Nagar, New Delhi, Delhi",,pvrcinemalogo.webp,1,1,Pvr-inox,1,Platinum,Tier 1,315,,,1,https://www.google.com/maps/search/?api=1&query=Pvr+3C%27S+-+Lajpat+Nagar%2C+NEW+DELHI%2C+DELHI
N,"Pvr Anupam - Saket, New Delhi, Delhi",CINEMA000050,"Located on Pvr Anupam - Saket, New Delhi, Delhi","Advertising in Pvr Anupam - Saket, New Delhi, Delhi | Excellent Publicity","Advertising Rate for Pvr Anupam - Saket, New Delhi, Delhi",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Platinum,Tier 1,745,,,4,https://www.google.com/maps/search/?api=1&query=Pvr+Anupam+-+Saket%2C+NEW+DELHI%2C+DELHI
